path,class,label
prepared_liveness_data\raw\spoof\kaggle_75_frame325.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_52_frame180.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_57_frame50.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_40_frame75.jpg,real,1
prepared_liveness_data\raw\real\kaggle_18_frame20.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_42_frame265.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_11_frame40.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_43_frame120.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_64_frame140.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_4_frame190.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_72_frame170.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_22_frame180.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_58_frame310.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_48_frame130.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_79_frame285.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_76_frame25.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_37_frame300.jpg,real,1
prepared_liveness_data\raw\real\kaggle_40_frame180.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_57_frame5.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_61_frame400.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_71_frame5.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_26_frame140.jpg,real,1
prepared_liveness_data\raw\real\kaggle_24_frame120.jpg,real,1
prepared_liveness_data\raw\real\kaggle_52_frame115.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_12_frame515.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_18_frame515.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_2_frame75.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_72_frame50.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_46_frame315.jpg,real,1
prepared_liveness_data\raw\real\kaggle_44_frame30.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_45_frame220.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_45_frame185.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_74_frame45.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_11_frame25.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_5_frame385.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_74_frame285.jpg,real,1
prepared_liveness_data\raw\real\kaggle_58_frame75.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_49_frame420.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_35_frame95.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_44_frame160.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_25_frame450.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_25_frame145.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_45_frame50.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_59_frame280.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_23_frame20.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_13_frame295.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_30_frame50.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_17_frame60.jpg,real,1
prepared_liveness_data\raw\real\kaggle_28_frame135.jpg,real,1
prepared_liveness_data\raw\real\kaggle_61_frame430.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_14_frame180.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_58_frame220.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_34_frame275.jpg,real,1
prepared_liveness_data\raw\real\kaggle_1_frame140.jpg,real,1
prepared_liveness_data\raw\real\kaggle_63_frame235.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_55_frame5.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_23_frame450.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_61_frame200.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_22_frame160.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_23_frame30.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_46_frame435.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_5_frame45.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_18_frame60.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_66_frame215.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_11_frame595.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_28_frame115.jpg,real,1
prepared_liveness_data\raw\real\kaggle_37_frame100.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_2_frame370.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_19_frame385.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_30_frame235.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_44_frame205.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_47_frame215.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_31_frame270.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_18_frame220.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_11_frame80.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_1_frame165.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_74_frame360.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_42_frame160.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_21_frame70.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_13_frame90.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_66_frame65.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_0_frame55.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_45_frame45.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_2_frame350.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_55_frame155.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_10_frame10.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_23_frame330.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_36_frame305.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_13_frame300.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_41_frame5.jpg,real,1
prepared_liveness_data\raw\real\kaggle_73_frame55.jpg,real,1
prepared_liveness_data\raw\real\kaggle_77_frame65.jpg,real,1
prepared_liveness_data\raw\real\kaggle_41_frame135.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_73_frame175.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_74_frame370.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_28_frame170.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_52_frame460.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_44_frame65.jpg,real,1
prepared_liveness_data\raw\real\kaggle_27_frame30.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_28_frame390.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_66_frame90.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_74_frame215.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_63_frame10.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_21_frame345.jpg,real,1
prepared_liveness_data\raw\real\kaggle_34_frame205.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_37_frame0.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_4_frame140.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_16_frame5.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_76_frame40.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_76_frame180.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_22_frame5.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_58_frame80.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_34_frame270.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_44_frame190.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_16_frame160.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_49_frame300.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_35_frame460.jpg,real,1
prepared_liveness_data\raw\real\kaggle_31_frame215.jpg,real,1
prepared_liveness_data\raw\real\kaggle_42_frame165.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_74_frame540.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_28_frame460.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_8_frame160.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_76_frame230.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_3_frame140.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_34_frame275.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_43_frame395.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_25_frame15.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_3_frame295.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_74_frame460.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_52_frame490.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_46_frame250.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_9_frame30.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_35_frame300.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_12_frame85.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_14_frame375.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_59_frame230.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_53_frame125.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_30_frame105.jpg,real,1
prepared_liveness_data\raw\real\kaggle_65_frame20.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_40_frame225.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_42_frame195.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_58_frame10.jpg,real,1
prepared_liveness_data\raw\real\kaggle_46_frame415.jpg,real,1
prepared_liveness_data\raw\real\kaggle_79_frame155.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_30_frame370.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_6_frame165.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_34_frame150.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_77_frame120.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_45_frame25.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_30_frame140.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_5_frame40.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_61_frame500.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_9_frame215.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_55_frame425.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_34_frame250.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_70_frame345.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_50_frame175.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_35_frame165.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_12_frame485.jpg,real,1
prepared_liveness_data\raw\real\kaggle_3_frame45.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_74_frame185.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_49_frame205.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_60_frame70.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_22_frame60.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_40_frame45.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_18_frame185.jpg,spoof,0
prepared_liveness_data\raw\spoof\kaggle_19_frame205.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_11_frame100.jpg,real,1
prepared_liveness_data\raw\real\kaggle_15_frame70.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_17_frame100.jpg,spoof,0
prepared_liveness_data\raw\real\kaggle_73_frame30.jpg,real,1
prepared_liveness_data\raw\spoof\kaggle_37_frame210.jpg,spoof,0
